time,x,y,z
3.821,-0.00904,0.01539,0.97625
3.834,-0.01173,0.01515,0.98553
3.840,-0.01173,0.01515,0.98553
3.854,-0.01173,0.01515,0.98553
3.862,-0.01173,0.01515,0.98553
3.870,-0.01173,0.01515,0.98553
3.880,-0.01173,0.01515,0.98553
3.895,-0.01173,0.01515,0.98553
3.900,-0.01173,0.01246,0.97869
3.911,-0.01173,0.01246,0.97869
3.921,-0.01173,0.01246,0.97869
3.934,-0.01173,0.01246,0.97869
3.941,-0.01173,0.01246,0.97869
3.951,-0.01173,0.01246,0.97869
3.961,-0.01197,0.01295,0.97478
3.973,-0.01197,0.01295,0.97478
3.991,-0.01197,0.01295,0.97478
3.994,-0.01197,0.01295,0.97478
4.013,-0.01197,0.01295,0.97478
4.015,-0.01197,0.01295,0.97478
4.022,-0.01197,0.01295,0.97478
4.036,-0.01393,0.00953,0.97845
4.041,-0.01393,0.00953,0.97845
4.051,-0.01393,0.00953,0.97845
4.062,-0.01393,0.00953,0.97845
4.069,-0.01393,0.00953,0.97845
4.085,-0.01393,0.00953,0.97845
4.089,-0.01295,0.01344,0.97723
4.105,-0.01295,0.01344,0.97723
4.110,-0.01295,0.01344,0.97723
4.121,-0.01295,0.01344,0.97723
4.134,-0.01295,0.01344,0.97723
4.140,-0.01295,0.01344,0.97723
4.150,-0.01295,0.01344,0.97723
4.161,-0.01124,0.01441,0.97332
4.170,-0.01124,0.01441,0.97332
4.192,-0.01124,0.01441,0.97332
4.196,-0.01124,0.01441,0.97332
4.208,-0.01124,0.01441,0.97332
4.212,-0.01124,0.01441,0.97332
4.220,-0.01124,0.01270,0.97405
4.231,-0.01124,0.01270,0.97405
4.240,-0.01124,0.01270,0.97405
4.251,-0.01124,0.01270,0.97405
4.262,-0.01124,0.01270,0.97405
4.270,-0.01124,0.01270,0.97405
4.280,-0.01124,0.01270,0.97405
4.304,-0.00440,0.01564,0.97454
4.306,-0.00440,0.01564,0.97454
4.312,-0.00440,0.01564,0.97454
4.321,-0.00440,0.01564,0.97454
4.339,-0.00440,0.01564,0.97454
4.342,-0.00440,0.01564,0.97454
4.353,-0.01026,0.01197,0.97894
4.361,-0.01026,0.01197,0.97894
4.371,-0.01026,0.01197,0.97894
4.393,-0.01026,0.01197,0.97894
4.396,-0.01026,0.01197,0.97894
4.408,-0.01026,0.01197,0.97894
4.411,-0.01026,0.01197,0.97894
4.422,-0.01051,0.01441,0.97038
4.435,-0.01051,0.01441,0.97038
4.440,-0.01051,0.01441,0.97038
4.454,-0.01051,0.01441,0.97038
4.461,-0.01051,0.01441,0.97038
4.470,-0.01051,0.01441,0.97038
4.480,-0.01002,0.01319,0.97454
4.497,-0.01002,0.01319,0.97454
4.500,-0.01002,0.01319,0.97454
4.511,-0.01002,0.01319,0.97454
4.521,-0.01002,0.01319,0.97454
4.534,-0.01002,0.01319,0.97454
4.541,-0.01002,0.01319,0.97454
4.551,-0.01466,0.01295,0.97307
4.563,-0.01466,0.01295,0.97307
4.571,-0.01466,0.01295,0.97307
4.591,-0.01466,0.01295,0.97307
4.599,-0.01466,0.01295,0.97307
4.602,-0.01466,0.01295,0.97307
4.610,-0.01002,0.01344,0.97356
4.622,-0.01002,0.01344,0.97356
4.635,-0.01002,0.01344,0.97356
4.640,-0.01002,0.01344,0.97356
4.651,-0.01002,0.01344,0.97356
4.661,-0.01002,0.01344,0.97356
4.670,-0.01002,0.01344,0.97356
4.693,-0.01051,0.01319,0.97723
4.697,-0.01051,0.01319,0.97723
4.710,-0.01051,0.01319,0.97723
4.715,-0.01051,0.01319,0.97723
4.729,-0.01051,0.01319,0.97723
4.731,-0.01051,0.01319,0.97723
4.741,-0.01051,0.01319,0.97723
4.752,-0.00684,0.01099,0.97209
4.762,-0.00684,0.01099,0.97209
4.773,-0.00684,0.01099,0.97209
4.792,-0.00684,0.01099,0.97209
4.796,-0.00684,0.01099,0.97209
4.809,-0.00684,0.01099,0.97209
4.815,-0.01148,0.01222,0.97503
4.826,-0.01148,0.01222,0.97503
4.831,-0.01148,0.01222,0.97503
4.841,-0.01148,0.01222,0.97503
4.855,-0.01148,0.01222,0.97503
4.863,-0.01148,0.01222,0.97503
4.870,-0.01148,0.01222,0.97503
4.899,-0.01637,0.01270,0.97038
4.903,-0.01637,0.01270,0.97038
4.906,-0.01637,0.01270,0.97038
4.911,-0.01637,0.01270,0.97038
4.921,-0.01637,0.01270,0.97038
4.938,-0.01637,0.01270,0.97038
4.942,-0.01417,0.01344,0.97820
4.966,-0.01417,0.01344,0.97820
4.968,-0.01417,0.01344,0.97820
4.970,-0.01417,0.01344,0.97820
4.982,-0.01417,0.01344,0.97820
4.989,-0.01417,0.01344,0.97820
5.005,-0.01417,0.01344,0.97820
5.013,-0.01344,0.01441,0.97283
5.019,-0.01344,0.01441,0.97283
5.031,-0.01344,0.01441,0.97283
5.040,-0.01344,0.01441,0.97283
5.050,-0.01344,0.01441,0.97283
5.063,-0.01344,0.01441,0.97283
5.071,-0.01075,0.00977,0.97869
5.090,-0.01075,0.00977,0.97869
5.092,-0.01075,0.00977,0.97869
5.106,-0.01075,0.00977,0.97869
5.110,-0.01075,0.00977,0.97869
5.121,-0.01075,0.00977,0.97869
5.139,-0.01075,0.00977,0.97869
5.152,-0.01295,0.01344,0.97674
5.154,-0.01295,0.01344,0.97674
5.160,-0.01295,0.01344,0.97674
5.169,-0.01295,0.01344,0.97674
5.186,-0.01295,0.01344,0.97674
5.190,-0.01295,0.01344,0.97674
5.200,-0.01124,0.01564,0.96867
5.210,-0.01124,0.01564,0.96867
5.220,-0.01124,0.01564,0.96867
5.231,-0.01124,0.01564,0.96867
5.239,-0.01124,0.01564,0.96867
5.251,-0.01124,0.01564,0.96867
5.263,-0.01124,0.01564,0.96867
5.271,-0.01246,0.01368,0.98162
5.289,-0.01246,0.01368,0.98162
5.291,-0.01246,0.01368,0.98162
5.313,-0.01246,0.01368,0.98162
5.315,-0.01246,0.01368,0.98162
5.329,-0.01246,0.01368,0.98162
5.335,-0.01002,0.01515,0.97723
5.346,-0.01002,0.01515,0.97723
5.355,-0.01002,0.01515,0.97723
5.360,-0.01002,0.01515,0.97723
5.370,-0.01002,0.01515,0.97723
5.388,-0.01002,0.01515,0.97723
5.389,-0.01002,0.01515,0.97723
5.400,-0.01075,0.00977,0.97625
5.410,-0.01075,0.00977,0.97625
5.421,-0.01075,0.00977,0.97625
5.431,-0.01075,0.00977,0.97625
5.440,-0.01075,0.00977,0.97625
5.450,-0.01075,0.00977,0.97625
5.463,-0.01002,0.01026,0.97967
5.470,-0.01002,0.01026,0.97967
5.487,-0.01002,0.01026,0.97967
5.491,-0.01002,0.01026,0.97967
5.509,-0.01002,0.01026,0.97967
5.511,-0.01002,0.01026,0.97967
5.521,-0.01002,0.01026,0.97967
5.534,-0.01026,0.01173,0.98431
5.541,-0.01026,0.01173,0.98431
5.551,-0.01026,0.01173,0.98431
5.560,-0.01026,0.01173,0.98431
5.573,-0.01026,0.01173,0.98431
5.594,-0.01026,0.01173,0.98431
5.597,-0.01026,0.01173,0.98431
5.600,-0.01075,0.01197,0.97674
5.614,-0.01075,0.01197,0.97674
5.624,-0.01075,0.01197,0.97674
5.632,-0.01075,0.01197,0.97674
5.641,-0.01075,0.01197,0.97674
5.654,-0.01075,0.01197,0.97674
5.663,-0.01270,0.01515,0.97234
5.670,-0.01270,0.01515,0.97234
5.697,-0.01270,0.01515,0.97234
5.700,-0.01270,0.01515,0.97234
5.702,-0.01270,0.01515,0.97234
5.714,-0.01270,0.01515,0.97234
5.720,-0.01270,0.01515,0.97234
5.732,-0.01197,0.01295,0.97820
5.741,-0.01197,0.01295,0.97820
5.751,-0.01197,0.01295,0.97820
5.761,-0.01197,0.01295,0.97820
5.771,-0.01197,0.01295,0.97820
5.800,-0.01197,0.01295,0.97820
5.805,-0.00977,0.01612,0.98260
5.808,-0.00977,0.01612,0.98260
5.811,-0.00977,0.01612,0.98260
5.825,-0.00977,0.01612,0.98260
5.838,-0.00977,0.01612,0.98260
5.842,-0.00977,0.01612,0.98260
5.853,-0.00977,0.01612,0.98260
5.862,-0.01319,0.01295,0.96916
5.869,-0.01319,0.01295,0.96916
5.887,-0.01319,0.01295,0.96916
5.889,-0.01319,0.01295,0.96916
5.900,-0.01319,0.01295,0.96916
5.910,-0.01319,0.01295,0.96916
5.920,-0.01173,0.01466,0.97307
5.933,-0.01173,0.01466,0.97307
5.940,-0.01173,0.01466,0.97307
5.950,-0.01173,0.01466,0.97307
5.960,-0.01173,0.01466,0.97307
5.970,-0.01173,0.01466,0.97307
5.979,-0.01173,0.01466,0.97307
5.993,-0.00953,0.01441,0.97991
6.015,-0.00953,0.01441,0.97991
6.016,-0.00953,0.01441,0.97991
6.022,-0.00953,0.01441,0.97991
6.030,-0.00953,0.01441,0.97991
6.041,-0.00953,0.01441,0.97991
6.053,-0.01441,0.01417,0.97283
6.063,-0.01441,0.01417,0.97283
6.071,-0.01441,0.01417,0.97283
6.084,-0.01441,0.01417,0.97283
6.090,-0.01441,0.01417,0.97283
6.110,-0.01441,0.01417,0.97283
6.113,-0.01441,0.01417,0.97283
6.126,-0.01295,0.01246,0.97038
6.131,-0.01295,0.01246,0.97038
6.141,-0.01295,0.01246,0.97038
6.152,-0.01295,0.01246,0.97038
6.161,-0.01295,0.01246,0.97038
6.177,-0.01295,0.01246,0.97038
6.181,-0.01515,0.01393,0.97136
6.196,-0.01515,0.01393,0.97136
6.230,-0.01515,0.01393,0.97136
6.234,-0.01515,0.01393,0.97136
6.238,-0.01515,0.01393,0.97136
6.243,-0.01515,0.01393,0.97136
6.248,-0.01515,0.01393,0.97136
6.250,-0.00684,0.01075,0.97625
6.261,-0.00684,0.01075,0.97625
6.269,-0.00684,0.01075,0.97625
6.283,-0.00684,0.01075,0.97625
6.290,-0.00684,0.01075,0.97625
6.299,-0.00684,0.01075,0.97625
6.310,-0.01417,0.01124,0.97283
6.326,-0.01417,0.01124,0.97283
6.331,-0.01417,0.01124,0.97283
6.341,-0.01417,0.01124,0.97283
6.350,-0.01417,0.01124,0.97283
6.362,-0.01417,0.01124,0.97283
6.370,-0.01417,0.01124,0.97283
6.383,-0.01173,0.01515,0.97674
6.390,-0.01173,0.01515,0.97674
6.401,-0.01173,0.01515,0.97674
6.411,-0.01173,0.01515,0.97674
6.436,-0.01173,0.01515,0.97674
6.441,-0.01173,0.01515,0.97674
6.456,-0.01173,0.01515,0.97674
6.459,-0.01319,0.01393,0.97136
6.467,-0.01319,0.01393,0.97136
6.474,-0.01319,0.01393,0.97136
6.488,-0.01319,0.01393,0.97136
6.494,-0.01319,0.01393,0.97136
6.525,-0.01319,0.01393,0.97136
6.528,-0.00953,0.01295,0.97894
6.529,-0.00953,0.01295,0.97894
6.530,-0.00953,0.01295,0.97894
6.540,-0.00953,0.01295,0.97894
6.550,-0.00953,0.01295,0.97894
6.561,-0.00953,0.01295,0.97894
6.570,-0.00953,0.01295,0.97894
6.582,-0.00928,0.01564,0.97674
6.588,-0.00928,0.01564,0.97674
6.603,-0.00928,0.01564,0.97674
6.610,-0.00928,0.01564,0.97674
6.621,-0.00928,0.01564,0.97674
6.633,-0.00928,0.01564,0.97674
6.640,-0.01124,0.01222,0.97674
6.650,-0.01124,0.01222,0.97674
6.663,-0.01124,0.01222,0.97674
6.670,-0.01124,0.01222,0.97674
6.684,-0.01124,0.01222,0.97674
6.690,-0.01124,0.01222,0.97674
6.702,-0.01124,0.01222,0.97674
6.710,-0.01075,0.01612,0.97820
6.730,-0.01075,0.01612,0.97820
6.733,-0.01075,0.01612,0.97820
6.741,-0.01075,0.01612,0.97820
6.754,-0.01075,0.01612,0.97820
6.761,-0.01075,0.01612,0.97820
6.771,-0.00880,0.01515,0.97038
6.784,-0.00880,0.01515,0.97038
6.790,-0.00880,0.01515,0.97038
6.800,-0.00880,0.01515,0.97038
6.814,-0.00880,0.01515,0.97038
6.840,-0.00880,0.01515,0.97038
6.846,-0.00880,0.01515,0.97038
6.850,-0.01124,0.00977,0.97698
6.856,-0.01124,0.00977,0.97698
6.866,-0.01124,0.00977,0.97698
6.872,-0.01124,0.00977,0.97698
6.887,-0.01124,0.00977,0.97698
6.890,-0.01124,0.00977,0.97698
6.899,-0.01173,0.01246,0.97698
6.912,-0.01173,0.01246,0.97698
6.921,-0.01173,0.01246,0.97698
6.931,-0.01173,0.01246,0.97698
6.940,-0.01173,0.01246,0.97698
6.950,-0.01173,0.01246,0.97698
6.960,-0.01173,0.01246,0.97698
6.971,-0.01710,0.01026,0.97747
